sex,age,address,failures,paid,higher,romantic,G1,G2,G3,Mnonedu,Mprimaryedu,Msecondaryedu,Mhighedu,Fnonedu,Fprimaryedu,Fsecondaryedu,Fhighedu,<15mins,15-30mins,30-60mins,verylow,low,normal,high
1,15,1,0,0,1,0,10,11,11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,15,1,0,1,1,0,7,8,8,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,16,1,0,0,1,0,16,18,18,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,15,0,0,1,1,1,10,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,1,0,1,1,1,14,15,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,15,1,0,0,1,0,18,19,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,16,0,1,0,1,0,7,10,10,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1,16,1,1,0,1,0,10,13,13,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,15,1,0,0,1,0,18,19,19,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,15,0,0,0,1,1,9,9,9,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,16,1,0,0,1,0,15,15,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,15,1,0,0,1,0,11,13,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,16,1,0,0,1,0,13,14,13,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,17,0,1,0,1,0,9,7,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,15,1,0,0,1,0,14,13,13,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,15,1,0,0,1,0,16,15,15,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,15,1,0,1,1,0,16,14,15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,16,1,0,1,1,1,13,13,13,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,16,1,0,0,1,0,14,11,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,16,1,0,1,1,1,8,7,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,15,1,0,0,1,0,13,13,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,15,1,0,0,1,1,7,10,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,19,1,3,0,0,0,7,8,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,18,0,2,0,1,0,7,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,16,0,0,1,1,0,18,18,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,15,0,2,0,1,1,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,15,1,0,0,1,1,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,17,1,0,0,1,1,10,13,12,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,16,1,0,0,1,0,12,11,11,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,15,0,0,0,1,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,15,1,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,17,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,16,1,2,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,16,1,1,0,1,1,14,12,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,15,1,0,0,1,0,16,16,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,15,1,0,0,1,0,7,9,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,16,1,2,0,1,0,9,9,9,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,15,1,0,1,1,0,9,11,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,16,1,0,0,1,0,14,14,13,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,17,1,3,0,1,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,15,1,0,1,1,0,8,11,11,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,15,1,3,0,1,0,6,7,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,15,1,0,1,1,0,10,11,11,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,16,1,0,0,0,1,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,15,1,3,0,1,0,8,9,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,18,1,3,0,0,1,6,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,16,1,1,0,1,1,12,13,14,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,15,0,2,1,1,1,10,10,10,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,19,1,3,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,17,1,0,0,1,1,11,11,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,15,0,0,1,1,0,11,8,8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0,17,0,0,0,1,0,16,12,13,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,18,0,3,0,1,0,9,8,10,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,16,0,0,0,1,0,17,15,15,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,16,1,1,1,1,1,10,12,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0,17,0,2,0,0,1,7,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,15,0,2,0,1,1,5,9,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,16,1,1,0,1,0,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,17,1,0,0,0,0,10,10,10,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,17,0,3,0,0,1,5,8,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,16,1,1,0,0,0,12,11,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,16,1,0,0,0,0,10,10,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,16,1,0,1,1,1,14,15,16,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,16,1,0,1,1,0,6,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,16,1,0,1,1,1,14,14,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,16,1,2,0,1,0,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,16,1,0,1,1,1,13,15,16,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,17,1,0,1,1,0,13,11,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,16,1,3,0,1,1,8,7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1,16,1,0,1,1,0,10,11,9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,17,1,0,1,1,0,10,9,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,16,1,0,1,1,0,13,13,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,17,1,0,0,1,0,6,5,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0,16,0,0,0,1,1,10,8,9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,17,1,0,0,1,1,10,10,11,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,16,1,0,1,1,0,9,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,16,1,0,1,1,1,12,13,12,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,17,1,0,0,1,0,16,17,17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,17,1,0,0,1,1,9,9,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,16,1,0,1,1,0,12,13,12,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,17,1,0,0,1,1,12,12,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0,16,1,0,1,1,1,11,12,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,16,1,0,1,1,1,15,15,15,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,17,1,0,0,1,1,8,7,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,17,0,0,0,1,0,8,9,10,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,16,1,0,0,1,0,11,12,13,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,17,1,0,0,1,0,8,8,9,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,17,1,0,1,1,0,7,8,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,16,0,0,0,1,0,8,9,10,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,16,1,0,0,1,0,13,14,14,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,17,1,0,0,1,1,14,15,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,17,1,0,0,1,0,17,15,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,16,0,0,1,1,0,9,9,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,17,1,1,0,1,0,18,18,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,16,1,0,1,1,0,9,9,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,16,1,0,0,1,0,16,16,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,16,1,0,1,1,0,8,10,10,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,17,1,0,1,1,0,9,9,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,17,0,0,0,1,0,7,6,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,16,0,0,1,1,0,10,10,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,17,1,1,1,1,1,10,9,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,16,1,3,1,1,0,7,7,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,16,1,0,1,1,1,11,12,13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,16,1,0,1,1,0,9,9,10,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,17,0,0,1,1,1,7,7,7,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,19,1,0,1,1,0,8,8,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,17,1,0,1,1,1,12,12,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,16,1,0,1,1,0,12,13,14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,18,1,1,1,1,0,6,7,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,17,0,0,1,1,0,8,10,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,17,1,0,1,1,0,14,15,15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,17,1,2,1,1,1,6,6,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,18,1,1,1,1,0,6,6,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,17,1,0,1,1,0,7,7,8,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,17,1,0,1,1,0,9,10,10,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,17,0,0,0,1,0,6,6,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,17,1,1,0,1,1,6,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,16,1,0,0,1,0,16,16,17,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0,18,1,0,1,1,0,12,13,13,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,16,1,0,0,1,0,13,13,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,18,0,1,0,1,1,9,8,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,17,1,0,0,1,0,16,15,15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,17,1,0,1,1,0,12,11,12,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,18,1,0,1,1,1,10,8,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,17,1,0,0,1,1,12,10,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,17,1,0,0,1,1,13,13,14,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,17,0,0,1,1,0,11,11,11,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,17,1,0,0,1,1,11,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,16,1,0,1,1,0,14,13,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,16,1,0,1,1,0,9,7,6,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,16,1,0,0,1,1,11,9,10,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,17,1,0,1,1,1,14,13,13,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,16,1,0,0,1,1,13,12,12,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,17,0,0,0,1,0,13,11,11,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,18,1,1,0,0,0,7,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,17,1,0,0,1,1,12,12,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,17,0,0,1,1,0,10,11,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,16,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,16,1,0,0,1,0,13,12,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,18,1,0,1,1,1,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,16,1,0,0,1,0,18,18,18,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,17,1,0,0,1,0,12,12,13,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,22,1,3,0,0,1,6,8,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,18,0,1,0,1,1,3,5,5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,16,1,0,1,1,0,13,15,15,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,18,1,1,0,0,0,6,8,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,16,1,0,0,1,0,7,10,10,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,18,1,1,0,0,0,6,9,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,16,0,0,0,1,0,8,9,8,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
0,17,0,0,0,1,0,8,12,12,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,17,1,1,0,1,0,7,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,17,1,0,1,1,0,14,12,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,19,1,0,0,1,0,11,11,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,18,1,0,0,1,0,15,14,14,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,17,1,0,1,1,1,10,9,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,18,1,0,1,1,1,17,18,18,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,18,1,0,1,1,0,8,8,8,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,18,0,0,0,1,0,13,12,12,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,17,1,0,0,1,0,10,9,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,18,1,0,1,1,1,9,10,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,18,0,0,1,1,0,17,17,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,17,1,0,1,1,1,9,9,10,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
1,18,0,0,1,1,0,12,10,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,18,1,0,1,1,1,10,9,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,18,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,19,1,2,1,1,0,9,9,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1,18,1,0,1,1,1,15,14,14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,18,1,0,1,1,0,11,11,11,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,17,0,0,1,1,1,15,14,14,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,17,1,0,1,1,1,10,10,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
